t,1,2,3,4,5,6
1,301.9,276.6,273.8,284.9,273,243.2
2,305.8,282.7,281.9,291.7,281.8,254.6
3,308.7,288.7,288.2,296.9,287.7,264.8
4,310.4,293.9,292.9,300.5,292.6,273.1
5,311.2,297.6,296.3,302.8,296.3,279.5
6,311.3,299.9,298.5,304.1,298.7,284.2
7,310.8,301.3,299.9,304.7,300.2,287.5
8,309.9,302,300.5,304.8,301.1,290
9,308.6,301.9,300.5,304.2,301.2,291.5
10,306.7,301.1,299.9,303.1,300.7,292
11,304.6,299.8,298.7,301.6,299.9,292
12,302.2,298.2,297.2,299.7,298.6,291.4
13,299.6,296.3,295.5,297.7,296.9,290.4
14,296.9,294.2,293.6,295.5,295.2,289.2
15,293.9,291.7,291.2,292.9,292.9,287.4
16,290.9,289.1,288.8,290.2,290.6,285.5
17,287.9,286.5,286.2,287.5,288.1,283.5
18,284.9,283.8,283.7,284.8,285.6,281.2
19,281.7,281.4,281,281.9,282.9,278.8
20,278.7,279.3,278.3,279,280.3,276.4
21,275.5,277.2,275.5,276.1,277.5,273.9
22,272.4,276.3,272.7,273.1,274.7,271.2
23,269.3,274.2,269.8,270.2,271.8,268.4
24,266.3,272.1,267,267.2,269,265.8
25,263.1,269.7,264.1,264.1,266,263
26,260.2,267.4,261.4,261.3,263.3,260.3
27,257.2,265,258.9,258.3,260.3,257.5
28,254.4,262.6,256.4,255.6,257.6,254.9
29,251.3,259.8,253.8,252.5,254.6,252
30,248.5,257,251.4,249.8,251.9,249.4
31,245.8,254.4,249.2,247.1,249.2,246.8
32,243.8,251.5,246.8,244.4,246.5,244.1
33,240.3,248.7,244.6,241.8,243.9,241.5
34,237.6,245.8,242.3,239.2,241.2,238.9
35,234.9,242.9,240.1,236.8,238.6,236.4
36,232.3,240.1,237.9,234.5,236,233.9
37,229.6,237.2,235.6,232,233.5,231.4
38,227.2,234.4,233.3,229.7,231,229
39,224.6,231.4,230.8,227.2,228.3,226.3
40,222.1,228.7,228.6,224.9,226,224
41,219.6,225.9,226.1,222.6,223.5,221.6
42,216.8,222.8,223.5,219.9,220.7,218.8
43,214.5,220.4,221.5,217.8,218.5,216.7
44,212.2,217.8,219.2,215.6,216.3,214.4
45,209.9,215.3,216.8,213.3,213.9,212.1
46,207.6,212.8,214.7,211.3,211.7,209.9
47,205.4,210.4,212.5,209.1,209.4,229.7
48,203.2,207.9,210.2,206.9,207.4,233.1
49,201.3,205.5,208,204.7,205.4,233.1
50,199.4,203.2,205.8,202.6,203.5,233
51,197.5,201,203.7,200.5,201.5,232.9
52,195.6,198.6,201.4,198.3,199.5,232.8
53,193.7,196.3,199.2,196.2,197.6,232.4
54,192.1,194.5,197.5,194.6,199.1,231.8
55,190.3,192.4,195.4,192.6,201.5,230.7
56,188.6,190.3,193.5,190.8,201.8,225.5
57,186.8,188.3,191.6,189.1,201.1,219.8
58,185,186.3,189.5,187.2,200,214.4
59,183.3,184.6,187.8,185.5,198.8,210.2
60,181.6,184.9,185.9,183.7,197.7,206
61,179.8,185.3,183.9,181.9,196.5,202.2
62,178.1,185.1,182.1,180.2,195.1,198.6
63,176.2,183.8,180.3,178.5,193.7,195.3
64,174.2,181,181.1,176.5,192.2,191.6
65,172.8,178.8,184.8,177.8,191,189.2
66,171.1,176.4,185.2,182.6,189.6,186.4
67,169.5,174.4,185.2,184.3,188.4,184
68,167.6,171.9,184.9,184.9,186.8,181.1
69,166,169.9,184.5,185.1,185.5,178.7
70,164.3,168,183.7,185.2,184.8,176.3
71,162.8,166.2,183,185.3,184.8,174
72,161.1,164.3,181.9,185.3,184.8,171.7
73,159.6,162.6,180.6,185.2,184.7,169.7
74,158,161,178.7,185.1,184.6,167.7
75,156.5,159.3,175.6,184.8,184.4,165.7
76,154.9,157.7,172.5,184,184.3,163.8
77,153.4,156.1,169.7,180.4,184,161.9
78,152,154.5,167.2,176.6,183.2,160.2
79,150.5,153,164.7,173.1,178.8,158.4
80,148.9,151.4,162.3,169.8,174.8,156.6
81,147.5,149.9,160.1,166.9,171.5,155
82,146.9,148.3,158,164.1,168.2,153.1
83,144.5,146.8,155.8,161.4,165.3,151.4
84,143,145.5,154.1,159.1,162.7,149.8
85,141.6,144.2,152.3,156.7,160,148.2
86,140.2,142.9,150.8,154.8,157.7,146.7
87,138.6,141.5,149.1,152.5,155.1,144.7
88,137.1,140.3,147.6,150.5,152.8,143
89,135.7,139.1,146.1,148.9,150.7,141.5
90,134.3,137.8,144.5,147,148.6,139.8
91,132.9,136.5,142.8,145.1,146.5,138.3
92,131.6,135.2,141.1,143.3,144.6,136.9
93,130.2,133.9,139.4,141.5,142.7,135.4
94,128.9,132.5,137.9,139.7,140.9,134
95,127.7,131.2,136.3,138,139.1,132.6
96,126.4,129.8,134.7,136.3,137.4,131.2
97,125,128.3,133.1,134.5,135.5,129.8
98,123.9,127.2,131.7,133,134.1,128.6
99,122.6,125.8,130.1,131.3,132.4,127.1
100,121.5,124.5,128.7,129.9,130.9,125.9
101,120.3,123.3,127.2,128.3,129.3,124.7
102,119.1,122,125.8,126.8,127.8,123.4
103,117.9,120.7,124.4,125.4,126.4,122.2
104,116.8,119.5,123,123,125,120.9
105,115.6,118.3,121.7,122.5,123.5,119.7
